week_of_outbreak,state_ut,district,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Disease_Clean,date,Cases_lag1,Cases_lag2,Cases_lag4,Cases_MA_3w,Cases_SD_3w,Cases_WoW_change,Cases_EMA_3w,Weekly_Avg_Cases,Seasonality_Index,Cases_trend_4w,ALOS,Severity_Rate,Bed_Days,ICU_Required
28,Tamil Nadu,Coimbatore,15,0.0,13,7,2014,11.0600516,77.0679581,0.5002897111,6.0,311.04,Acute Diarrhoeal Disease,2014-07-14,17.0,44.0,66.0,25.333333333333332,16.19670748434179,-0.11764705882352944,22.625,31.071428571428573,0.48275862068965514,-4.1999999999999975,2.0,0.02,30.0,0.0
50,Tamil Nadu,Coimbatore,47,0.0,23,11,2009,11.0600516,77.0679581,0.2932651034,9.0,301.54,Chikungunya,2009-12-14,,,,47.0,,,47.0,23.625,1.9894179894179893,,4.0,0.08,188.0,4.0
37,Tamil Nadu,Coimbatore,10,0.0,2,9,2011,11.0600516,77.0679581,1.372625489,7.0,304.18,Chikungunya,2011-09-12,47.0,,,28.5,26.16295090390226,-0.7872340425531915,28.5,23.6,0.423728813559322,-36.99999999999999,4.0,0.08,40.0,1.0
45,Tamil Nadu,Coimbatore,12,0.0,15,9,2011,11.0600516,77.0679581,0.5285079055,7.0,309.38,Chikungunya,2011-11-07,10.0,47.0,,23.0,20.808652046684813,0.19999999999999996,20.25,14.5,0.8275862068965517,-17.500000000000004,4.0,0.08,48.0,1.0
52,Tamil Nadu,Coimbatore,99,0.0,21,12,2009,11.0600516,77.0679581,0.2122926837,7.0,301.56,Dengue,2009-12-28,,,,99.0,,,99.0,26.0,3.8076923076923075,,5.0,0.1,495.0,10.0
39,Tamil Nadu,Coimbatore (Tiruppur),34,0.0,15,9,2010,11.1147893,77.3475668,0.2260338625,4.0,313.73,Acute Diarrhoeal Disease,2010-09-27,,,,34.0,,,34.0,23.666666666666668,1.436619718309859,,2.0,0.02,68.0,1.0
28,Tamil Nadu,Cuddalore,34,0.0,6,7,2009,11.7564329,79.7634644,0.1377319061,6.0,309.67,Acute Diarrhoeal Disease,2009-07-13,,,,34.0,,,34.0,31.071428571428573,1.0942528735632184,,2.0,0.02,68.0,1.0
19,Tamil Nadu,Cuddalore,27,0.0,26,4,2010,11.7564329,79.7634644,0.001728863208,7.0,309.095,Acute Diarrhoeal Disease,2010-05-10,34.0,,,30.5,4.949747468305833,-0.20588235294117652,30.5,31.0,0.8709677419354839,-7.0,2.0,0.02,54.0,1.0
36,Tamil Nadu,Cuddalore,51,0.0,26,8,2010,11.7564329,79.7634644,2.003332569,12.0,304.67,Acute Diarrhoeal Disease,2010-09-06,27.0,34.0,,37.333333333333336,12.34233905438241,0.8888888888888888,40.75,30.333333333333332,1.6813186813186813,8.499999999999996,2.0,0.02,102.0,1.0
42,Tamil Nadu,Cuddalore,14,0.0,5,10,2010,11.7564329,79.7634644,0.6060789019,9.0,304.35,Acute Diarrhoeal Disease,2010-10-18,51.0,27.0,,30.666666666666668,18.770544300401447,-0.7254901960784313,27.375,21.8,0.6422018348623852,-3.599999999999999,2.0,0.02,28.0,0.0
45,Tamil Nadu,Cuddalore,37,2.0,29,10,2010,11.7564329,79.7634644,0.4391386606,8.0,304.67,Acute Diarrhoeal Disease,2010-11-08,14.0,51.0,34.0,34.0,18.681541692269402,1.6428571428571428,32.1875,24.5,1.510204081632653,-0.6999999999999976,2.0,0.02,74.0,1.0
51,Tamil Nadu,Cuddalore,11,0.0,2,12,2010,11.7564329,79.7634644,1.479400296,8.5,297.26,Acute Diarrhoeal Disease,2010-12-20,37.0,14.0,27.0,20.666666666666668,14.22439219556791,-0.7027027027027026,21.59375,22.571428571428573,0.4873417721518987,-9.699999999999998,2.0,0.02,22.0,0.0
19,Tamil Nadu,Cuddalore,28,0.0,9,5,2011,11.7564329,79.7634644,0.04302878099,8.5,308.944,Acute Diarrhoeal Disease,2011-05-09,11.0,37.0,51.0,25.333333333333332,13.203534880225572,1.5454545454545454,24.796875,31.0,0.9032258064516129,1.6000000000000052,2.0,0.02,56.0,1.0
26,Tamil Nadu,Cuddalore,31,0.0,27,6,2011,11.7564329,79.7634644,0.1460372828,9.0,309.02500000000003,Acute Diarrhoeal Disease,2011-06-27,28.0,11.0,14.0,23.333333333333332,10.785793124908956,0.1071428571428572,27.8984375,32.857142857142854,0.9434782608695653,-0.10000000000000443,2.0,0.02,62.0,1.0
23,Tamil Nadu,Cuddalore,31,0.0,4,6,2012,11.7564329,79.7634644,0.06080490984,7.0,310.54,Acute Diarrhoeal Disease,2012-06-04,31.0,28.0,37.0,30.0,1.732050807568865,0.0,29.44921875,25.5,1.2156862745098038,6.300000000000003,2.0,0.02,62.0,1.0
25,Tamil Nadu,Cuddalore,33,1.0,17,6,2013,11.7564329,79.7634644,0.04156357207,8.5,285.48,Acute Diarrhoeal Disease,2013-06-24,31.0,31.0,11.0,31.666666666666668,1.1547005383792326,0.06451612903225801,31.224609375,28.916666666666668,1.1412103746397695,1.4999999999999978,2.0,0.02,66.0,1.0
42,Tamil Nadu,Cuddalore,11,0.0,18,10,2013,11.7564329,79.7634644,0.1238680207,9.0,306.1333334,Acute Diarrhoeal Disease,2013-10-21,33.0,31.0,28.0,25.0,12.165525060596437,-0.6666666666666667,21.1123046875,21.8,0.5045871559633027,-5.799999999999995,2.0,0.02,22.0,0.0
44,Tamil Nadu,Cuddalore,83,0.0,27,10,2014,11.7564329,79.7634644,0.8588027256,9.0,300.325,Acute Diarrhoeal Disease,2014-11-03,11.0,33.0,31.0,42.333333333333336,36.89625093872457,6.545454545454546,52.05615234375,59.0,1.4067796610169492,13.399999999999999,2.0,0.02,166.0,2.0
2,Tamil Nadu,Cuddalore,90,0.0,8,1,2015,11.7564329,79.7634644,0.1011246013,8.5,301.316,Acute Diarrhoeal Disease,2015-01-12,83.0,11.0,31.0,61.333333333333336,43.730233629988,0.0843373493975903,71.028076171875,31.4,2.8662420382165608,24.299999999999997,2.0,0.02,180.0,2.0
18,Tamil Nadu,Cuddalore,17,1.0,2,5,2016,11.7564329,79.7634644,0.00789764028,8.0,311.55,Acute Diarrhoeal Disease,2016-05-02,90.0,83.0,33.0,63.333333333333336,40.2781992315115,-0.8111111111111111,44.0140380859375,21.272727272727273,0.7991452991452991,2.5000000000000093,2.0,0.02,34.0,0.0
1,Tamil Nadu,Cuddalore,12,0.0,3,1,2017,11.7564329,79.7634644,0.03167776122,11.0,303.1966666,Acute Diarrhoeal Disease,2017-01-02,17.0,90.0,11.0,39.666666666666664,43.66157731156003,-0.2941176470588235,28.00701904296875,16.333333333333332,0.7346938775510204,-28.59999999999999,2.0,0.02,24.0,0.0
1,Tamil Nadu,Cuddalore,20,0.0,3,1,2017,11.7564329,79.7634644,0.03167776122,11.0,303.1966666,Acute Diarrhoeal Disease,2017-01-02,12.0,17.0,83.0,16.333333333333332,4.0414518843273814,0.6666666666666667,24.003509521484375,16.333333333333332,1.2244897959183674,-21.500000000000004,2.0,0.02,40.0,0.0
43,Tamil Nadu,Cuddalore,49,0.0,22,10,2019,11.7564329,79.7634644,0.9259456486,8.0,304.67,Acute Diarrhoeal Disease,2019-10-28,20.0,12.0,90.0,27.0,19.467922333931785,1.4500000000000002,36.50175476074219,49.0,1.0,10.399999999999997,2.0,0.02,98.0,1.0
50,Tamil Nadu,Cuddalore,33,0.0,14,12,2011,11.7564329,79.7634644,0.1001201888,13.0,299.34000000000003,Chikungunya,2011-12-12,,,,33.0,,,33.0,23.625,1.3968253968253967,,4.0,0.08,132.0,3.0
7,Tamil Nadu,Cuddalore,30,0.0,16,2,2012,11.7564329,79.7634644,0.01694272744,8.0,303.836,Chikungunya,2012-02-13,33.0,,,31.5,2.1213203435596424,-0.09090909090909094,31.5,43.5,0.6896551724137931,-3.0000000000000067,4.0,0.08,120.0,2.0
1,Tamil Nadu,Cuddalore,17,0.0,1,1,2012,11.7564329,79.7634644,0.8230760943,7.0,296.6,Cholera,2012-01-02,,,,17.0,,,17.0,19.0,0.8947368421052632,,3.0,0.05,51.0,1.0
37,Tamil Nadu,Cuddalore,16,0.0,11,9,2014,11.7564329,79.7634644,0.06392840193,9.0,307.46,Cholera,2014-09-15,17.0,,,16.5,0.7071067811865476,-0.05882352941176472,16.5,16.0,1.0,-1.0000000000000038,3.0,0.05,48.0,1.0
12,Tamil Nadu,Cuddalore,32,0.0,17,3,2012,11.7564329,79.7634644,0.0978887894,7.0,305.27500000000003,Dengue,2012-03-19,,,,32.0,,,32.0,32.0,1.0,,5.0,0.1,160.0,3.0
31,Tamil Nadu,Cuddalore,15,0.0,4,8,2012,11.7564329,79.7634644,0.005562222011,8.5,309.755,Dengue,2012-07-30,32.0,,,23.5,12.020815280171307,-0.53125,23.5,32.0,0.46875,-17.0,5.0,0.1,75.0,2.0
1,Tamil Nadu,Dharmapuri,17,0.0,4,1,2022,12.09680475,78.19304301,0.1122425766,15.0,298.36,Acute Diarrhoeal Disease,2022-01-03,,,,17.0,,,17.0,16.333333333333332,1.0408163265306123,,2.0,0.02,34.0,0.0
22,Tamil Nadu,Dharmapuri,24,0.0,3,6,2022,12.09680475,78.19304301,0.08874493976,13.0,306.105,Acute Diarrhoeal Disease,2022-05-30,17.0,,,20.5,4.949747468305833,0.41176470588235303,20.5,31.375,0.7649402390438247,6.999999999999997,2.0,0.02,48.0,0.0
23,Tamil Nadu,Dharmapuri,26,0.0,3,6,2022,12.09680475,78.19304301,0.08874493976,13.0,306.105,Acute Diarrhoeal Disease,2022-06-06,24.0,17.0,,22.333333333333332,4.725815626252609,0.08333333333333326,23.25,25.5,1.0196078431372548,4.500000000000002,2.0,0.02,52.0,1.0
31,Tamil Nadu,Dharmapuri,118,0.0,25,7,2011,12.09680475,78.19304301,0.1487190445,5.0,306.105,Chikungunya,2011-08-01,,,,118.0,,,118.0,77.5,1.5225806451612902,,4.0,0.08,472.0,9.0
16,Tamil Nadu,Dharmapuri,28,0.0,19,4,2012,12.09680475,78.19304301,0.001627891495,7.0,314.25333340000003,Chikungunya,2012-04-16,118.0,,,73.0,63.63961030678928,-0.7627118644067796,73.0,38.5,0.7272727272727273,-90.0,4.0,0.08,112.0,2.0
50,Tamil Nadu,Dharmapuri,22,0.0,3,12,2018,12.09680475,78.19304301,0.0408257884,9.0,301.35,Chikungunya,2018-12-10,28.0,118.0,,56.0,53.777318638995006,-0.2142857142857143,47.5,23.625,0.9312169312169312,-48.00000000000001,4.0,0.08,88.0,2.0
26,Tamil Nadu,Dharmapuri,39,0.0,26,6,2019,12.09680475,78.19304301,0.1341004157,9.0,311.38,Chikungunya,2019-07-01,22.0,28.0,,29.666666666666668,8.621678104251709,0.7727272727272727,43.25,35.75,1.0909090909090908,-24.3,4.0,0.08,156.0,3.0
14,Tamil Nadu,Dharmapuri,37,0.0,4,4,2012,12.09680475,78.19304301,0.004881060381,7.0,309.88,Dengue,2012-04-02,,,,37.0,,,37.0,37.0,1.0,,5.0,0.1,185.0,4.0
36,Tamil Nadu,Dharmapuri,55,0.0,4,9,2012,12.09680475,78.19304301,0.4888781713,9.0,304.26,Dengue,2012-09-03,37.0,,,46.0,12.727922061357855,0.4864864864864864,46.0,37.6,1.4627659574468084,17.99999999999999,5.0,0.1,275.0,6.0
43,Tamil Nadu,Dharmapuri,11,0.0,22,10,2012,12.09680475,78.19304301,0.6249224588,9.0,301.71,Dengue,2012-10-22,55.0,37.0,,34.333333333333336,22.12088003071608,-0.8,28.5,12.0,0.9166666666666666,-12.999999999999991,5.0,0.1,55.0,1.0
1,Tamil Nadu,Dharmapuri,37,0.0,4,1,2019,12.09680475,78.19304301,0.02921215626,8.0,303.125,Dengue,2019-01-07,11.0,55.0,,34.333333333333336,22.12088003071608,2.3636363636363638,32.75,27.8,1.330935251798561,-4.399999999999993,5.0,0.1,185.0,4.0
23,Tamil Nadu,Dharmapuri,63,0.0,3,6,2019,12.09680475,78.19304301,0.4194237724,12.0,307.65000000000003,Dengue,2019-06-10,37.0,11.0,37.0,37.0,26.000000000000004,0.7027027027027026,47.875,72.14285714285714,0.8732673267326733,4.999999999999997,5.0,0.1,315.0,6.0
24,Tamil Nadu,Dharmapuri,52,0.0,16,6,2019,12.09680475,78.19304301,0.06686690604,11.0,308.815,Dengue,2019-06-17,63.0,37.0,55.0,50.666666666666664,13.051181300301266,-0.17460317460317465,49.9375,18.875,2.7549668874172184,14.900000000000002,5.0,0.1,260.0,5.0
1,Tamil Nadu,Dharmapuri,11,0.0,4,1,2019,12.09680475,78.19304301,0.02921215626,8.0,303.125,Dengue And Chikungunya,2019-01-07,,,,11.0,,,11.0,11.0,1.0,,,,,
38,Tamil Nadu,Dharmapuri,249,0.0,10,9,2015,12.09680475,78.19304301,0.6949605747,9.0,306.95,Malaria,2015-09-21,,,,249.0,,,249.0,249.0,1.0,,3.0,0.05,747.0,12.0
8,Tamil Nadu,Dindigul,112,2.0,15,2,2010,10.3303299,78.06739791,0.0007620685002,10.0,305.6,Acute Diarrhoeal Disease,2010-02-22,,,,112.0,,,112.0,33.45454545454545,3.347826086956522,,2.0,0.02,224.0,2.0
16,Tamil Nadu,Dindigul,19,0.0,16,4,2010,10.3303299,78.06739791,0.01524021493,9.0,313.04,Acute Diarrhoeal Disease,2010-04-19,112.0,,,65.5,65.76093065034893,-0.8303571428571428,65.5,19.666666666666668,0.9661016949152542,-93.0,2.0,0.02,38.0,0.0
49,Tamil Nadu,Dindigul,22,0.0,28,11,2010,10.3303299,78.06739791,1.336285699,4.0,299.68,Acute Diarrhoeal Disease,2010-12-06,19.0,112.0,,51.0,52.848841046895245,0.1578947368421053,43.75,41.2,0.5339805825242718,-45.000000000000014,2.0,0.02,44.0,0.0
32,Tamil Nadu,Dindigul,13,0.0,9,8,2011,10.3303299,78.06739791,0.3488107081,10.0,310.2,Acute Diarrhoeal Disease,2011-08-08,22.0,19.0,,18.0,4.58257569495584,-0.40909090909090906,28.375,19.666666666666668,0.6610169491525424,-29.400000000000002,2.0,0.02,26.0,0.0
50,Tamil Nadu,Dindigul,15,0.0,12,12,2011,10.3303299,78.06739791,0.1354393511,12.0,300.63,Acute Diarrhoeal Disease,2011-12-12,13.0,22.0,112.0,16.666666666666668,4.725815626252609,0.15384615384615374,21.6875,15.5,0.967741935483871,-2.1000000000000005,2.0,0.02,30.0,0.0
2,Tamil Nadu,Dindigul,12,0.0,12,1,2012,10.3303299,78.06739791,0.09089114209,10.0,299.4233334,Acute Diarrhoeal Disease,2012-01-09,15.0,13.0,19.0,13.333333333333334,1.5275252316519505,-0.19999999999999996,16.84375,31.4,0.3821656050955414,-2.8000000000000007,2.0,0.02,24.0,0.0
21,Tamil Nadu,Dindigul,28,0.0,22,5,2012,10.3303299,78.06739791,0.174143296,13.0,305.148,Acute Diarrhoeal Disease,2012-05-21,12.0,15.0,22.0,18.333333333333332,8.504900548115383,1.3333333333333335,22.421875,28.555555555555557,0.980544747081712,4.200000000000001,2.0,0.02,56.0,1.0
32,Tamil Nadu,Dindigul,16,0.0,3,8,2012,10.3303299,78.06739791,0.04182149426,10.0,310.84000000000003,Acute Diarrhoeal Disease,2012-08-06,28.0,12.0,13.0,18.666666666666668,8.326663997864534,-0.4285714285714286,19.2109375,19.666666666666668,0.8135593220338982,1.9000000000000012,2.0,0.02,32.0,0.0
12,Tamil Nadu,Dindigul,25,0.0,21,3,2016,10.3303299,78.06739791,0.0008165524709,10.0,310.48,Acute Diarrhoeal Disease,2016-03-21,16.0,28.0,15.0,23.0,6.2449979983984,0.5625,22.10546875,22.8,1.0964912280701753,2.7,2.0,0.02,50.0,0.0
29,Tamil Nadu,Dindigul,56,0.0,19,7,2018,10.3303299,78.06739791,0.2364849897,10.0,309.66,Acute Diarrhoeal Disease,2018-07-16,25.0,16.0,12.0,32.333333333333336,20.984120980716188,1.2400000000000002,39.052734375,27.0,2.074074074074074,9.299999999999999,2.0,0.02,112.0,1.0
39,Tamil Nadu,Dindigul,83,0.0,21,9,2009,10.3303299,78.06739791,0.9820606935,10.0,306.135,Chikungunya,2009-09-28,,,,83.0,,,83.0,34.77777777777778,2.3865814696485623,,4.0,0.08,332.0,7.0
49,Tamil Nadu,Dindigul,13,0.0,1,12,2009,10.3303299,78.06739791,0.08804291906,12.0,301.548,Chikungunya,2009-12-07,83.0,,,48.0,49.49747468305833,-0.8433734939759037,48.0,17.75,0.7323943661971831,-70.0,4.0,0.08,52.0,1.0
1,Tamil Nadu,Dindigul,17,0.0,4,11,2012,10.3303299,78.06739791,0.06692680828,16.0,304.05,Chikungunya,2012-01-02,13.0,83.0,,37.666666666666664,39.31072796748151,0.3076923076923077,32.5,17.0,1.0,-33.0,4.0,0.08,68.0,1.0
2,Tamil Nadu,Dindigul,69,0.0,11,1,2012,10.3303299,78.06739791,0.07027384008,10.0,299.12333340000004,Chikungunya,2012-01-09,17.0,13.0,,33.0,31.240998703626612,3.0588235294117645,50.75,76.0,0.9078947368421053,-3.8,4.0,0.08,276.0,6.0
17,Tamil Nadu,Dindigul,21,0.0,25,4,2012,10.3303299,78.06739791,0.03580833203,8.0,313.5133334,Chikungunya,2012-04-23,69.0,17.0,83.0,35.666666666666664,28.936712552280934,-0.6956521739130435,35.875,22.0,0.9545454545454546,7.600000000000001,4.0,0.08,84.0,2.0
18,Tamil Nadu,Dindigul,12,0.0,27,4,2012,10.3303299,78.06739791,0.2981805242,8.0,310.93333340000004,Chikungunya,2012-04-30,21.0,69.0,13.0,34.0,30.643106892089122,-0.4285714285714286,23.9375,12.0,1.0,-6.299999999999996,4.0,0.08,48.0,1.0
23,Tamil Nadu,Dindigul,20,0.0,30,5,2012,10.3303299,78.06739791,0.2737304604,12.0,305.54,Chikungunya,2012-06-04,12.0,21.0,17.0,17.666666666666668,4.932882862316224,0.6666666666666667,21.96875,24.2,0.8264462809917356,-15.600000000000003,4.0,0.08,80.0,2.0
6,Tamil Nadu,Dindigul,24,0.0,7,2,2013,10.3303299,78.06739791,0.02577595032,9.0,308.1733334,Chikungunya,2013-02-11,20.0,12.0,69.0,18.666666666666668,6.1101009266077675,0.19999999999999996,22.984375,23.333333333333332,1.0285714285714287,1.6999999999999986,4.0,0.08,96.0,2.0
8,Tamil Nadu,Dindigul,52,0.0,7,2,2013,10.3303299,78.06739791,0.02577595032,9.0,308.1733334,Chikungunya,2013-02-25,24.0,20.0,21.0,32.0,17.43559577416269,1.1666666666666665,37.4921875,37.5,1.3866666666666667,12.399999999999999,4.0,0.08,208.0,4.0
8,Tamil Nadu,Dindigul,21,0.0,31,1,2013,10.3303299,78.06739791,0.0002848368054,9.0,306.5566666,Chikungunya,2013-02-25,52.0,24.0,12.0,32.333333333333336,17.097758137642874,-0.5961538461538461,29.24609375,37.5,0.56,3.1000000000000036,4.0,0.08,84.0,2.0
9,Tamil Nadu,Dindigul,17,0.0,26,2,2014,10.3303299,78.06739791,0.0625999871,10.0,308.95,Chikungunya,2014-03-03,21.0,52.0,20.0,30.0,19.15724406066801,-0.19047619047619047,23.123046875,22.0,0.7727272727272727,-5.199999999999997,4.0,0.08,68.0,1.0
9,Tamil Nadu,Dindigul,36,0.0,26,2,2018,10.3303299,78.06739791,0.00111927392,10.0,308.44,Chikungunya,2018-02-26,17.0,21.0,24.0,24.666666666666668,10.016652800877802,1.1176470588235294,29.5615234375,22.0,1.6363636363636365,-5.200000000000001,4.0,0.08,144.0,3.0
10,Tamil Nadu,Dindigul,23,0.0,8,3,2018,10.3303299,78.06739791,0.0002636578141,8.0,313.836,Chikungunya,2018-03-05,36.0,17.0,52.0,25.333333333333332,9.712534856222298,-0.36111111111111116,26.28076171875,28.375,0.8105726872246696,2.4999999999999996,4.0,0.08,92.0,2.0
13,Tamil Nadu,Dindigul,26,0.0,29,3,2018,10.3303299,78.06739791,0.02167213385,10.0,309.5366666,Chikungunya,2018-03-26,23.0,36.0,21.0,28.333333333333332,6.806859285554029,0.13043478260869557,26.140380859375,22.75,1.1428571428571428,1.4000000000000012,4.0,0.08,104.0,2.0
16,Tamil Nadu,Dindigul,85,0.0,7,4,2018,10.3303299,78.06739791,0.003073672672,10.0,311.54,Chikungunya,2018-04-16,26.0,23.0,17.0,44.666666666666664,34.96188400720609,2.269230769230769,55.5701904296875,38.5,2.207792207792208,15.000000000000002,4.0,0.08,340.0,7.0
17,Tamil Nadu,Dindigul,22,0.0,19,4,2018,10.3303299,78.06739791,0.203697193,8.0,310.1,Chikungunya,2018-04-23,85.0,26.0,36.0,44.333333333333336,35.27510926040248,-0.7411764705882353,38.78509521484375,22.0,1.0,5.6000000000000005,4.0,0.08,88.0,2.0
3,Tamil Nadu,Dindigul,16,0.0,15,1,2012,10.3303299,78.06739791,0.09706370925,10.0,300.15500000000003,Cholera,2012-01-16,,,,16.0,,,16.0,16.0,1.0,,3.0,0.05,48.0,1.0
4,Tamil Nadu,Dindigul,10,0.0,19,1,2012,10.3303299,78.06739791,0.01499900078,12.0,299.54,Cholera,2012-01-23,16.0,,,13.0,4.242640687119285,-0.375,13.0,10.0,1.0,-6.0000000000000036,3.0,0.05,30.0,0.0
51,Tamil Nadu,Dindigul,9,0.0,14,12,2009,10.3303299,78.06739791,0.04451872436,10.0,301.576,Dengue,2009-12-21,,,,9.0,,,9.0,15.4,0.5844155844155844,,5.0,0.1,45.0,1.0
52,Tamil Nadu,Dindigul,9,0.0,14,12,2009,10.3303299,78.06739791,0.04451872436,10.0,301.576,Dengue,2009-12-28,9.0,,,9.0,0.0,0.0,9.0,26.0,0.34615384615384615,-1.7001631767970826e-15,5.0,0.1,45.0,1.0
32,Tamil Nadu,Dindigul,9,0.0,25,7,2010,10.3303299,78.06739791,0.348618156,8.0,304.90000000000003,Dengue,2010-08-09,9.0,9.0,,9.0,0.0,0.0,9.0,19.5,0.46153846153846156,1.0010063537068465e-16,5.0,0.1,45.0,1.0
38,Tamil Nadu,Dindigul,6,1.0,16,9,2011,10.3303299,78.06739791,0.5877774472,14.0,304.32,Dengue,2011-09-19,9.0,9.0,,8.0,1.7320508075688772,-0.33333333333333337,7.5,22.166666666666668,0.2706766917293233,-0.8999999999999994,5.0,0.1,30.0,1.0
16,Tamil Nadu,Dindigul,12,0.0,16,4,2012,10.3303299,78.06739791,0.02236090997,9.0,311.82,Dengue,2012-04-16,6.0,9.0,9.0,9.0,3.0,1.0,9.75,12.0,1.0,0.6000000000000004,5.0,0.1,60.0,1.0
32,Tamil Nadu,Dindigul,28,0.0,2,8,2013,10.3303299,78.06739791,0.05475062244,7.0,311.88,Dengue,2013-08-12,12.0,6.0,9.0,15.333333333333334,11.372481406154654,1.3333333333333335,18.875,19.5,1.435897435897436,6.299999999999999,5.0,0.1,140.0,3.0
22,Tamil Nadu,Dindigul,92,0.0,3,6,2016,10.3303299,78.06739791,0.3591558087,12.0,308.392,Dengue,2016-05-30,28.0,12.0,9.0,44.0,42.33202097703345,2.2857142857142856,55.4375,90.6,1.0154525386313467,27.400000000000002,5.0,0.1,460.0,9.0
